State,District,Crop,Season,Area,Area Units,Production,Production Units,Yield,Avg_Nitrogen,Avg_Phosphorous,Avg_Potassium,pH,Latitude,Longitude,Start_Year,End_Year,temperature,humidity,rainfall
andhra pradesh,adilabad,banana,Whole Year,225.0,Hectare,5063.0,Tonnes,22.502222222222223,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,19.4,79.3,2001,2002,28.357692307692307,11.958846153846151,128.9953846153846
andhra pradesh,adilabad,banana,Whole Year,13.0,Hectare,317.0,Tonnes,24.384615384615383,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,19.4,79.3,2002,2003,28.50384615384616,12.115769230769226,152.1180769230769
andhra pradesh,adilabad,banana,Whole Year,110.0,Hectare,1540.0,Tonnes,14.0,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,19.4,79.3,2003,2004,28.26115384615385,12.392307692307693,135.08076923076925
andhra pradesh,anantapur,banana,Whole Year,1582.0,Hectare,462.0,Tonnes,0.2920353982300885,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,14.6,77.0,2001,2002,27.52961538461539,12.326923076923077,59.22538461538461
andhra pradesh,anantapur,banana,Whole Year,19.0,Hectare,1006.0,Tonnes,52.94736842105263,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,14.6,77.0,2002,2003,28.160384615384615,12.270384615384614,47.055000000000014
andhra pradesh,anantapur,banana,Whole Year,36.0,Hectare,1302.0,Tonnes,36.16666666666666,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,14.6,77.0,2003,2004,27.658461538461545,12.426923076923076,55.57346153846153
andhra pradesh,chittoor,banana,Whole Year,1005.0,Hectare,7156.0,Tonnes,7.120398009950248,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,13.5,78.5,2001,2002,25.951538461538462,13.28,105.46884615384614
andhra pradesh,chittoor,banana,Whole Year,960.0,Hectare,50841.0,Tonnes,52.959375,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,13.5,78.5,2002,2003,26.461923076923068,13.16692307692308,85.59115384615384
andhra pradesh,chittoor,banana,Whole Year,587.0,Hectare,21222.0,Tonnes,36.15332197614992,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,13.5,78.5,2003,2004,26.000769230769226,13.291538461538464,105.87307692307694
andhra pradesh,east godavari,banana,Whole Year,10258.0,Hectare,122822.0,Tonnes,11.973289140183272,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,17.0,82.2,2001,2002,28.486538461538455,17.43307692307692,120.88346153846155
andhra pradesh,east godavari,banana,Whole Year,7949.0,Hectare,116270.0,Tonnes,14.626997106554285,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,17.0,82.2,2002,2003,28.32730769230769,17.54576923076923,137.92076923076922
andhra pradesh,east godavari,banana,Whole Year,9547.0,Hectare,67488.0,Tonnes,7.069026919451137,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,17.0,82.2,2003,2004,27.96692307692308,17.62115384615384,154.9576923076923
andhra pradesh,guntur,banana,Whole Year,7967.0,Hectare,204939.0,Tonnes,25.723484373038787,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,16.6,79.6,2001,2002,28.930769230769236,13.911538461538463,98.97769230769228
andhra pradesh,guntur,banana,Whole Year,6720.0,Hectare,151697.0,Tonnes,22.573958333333334,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,16.6,79.6,2002,2003,29.157692307692304,13.968461538461538,96.94961538461537
andhra pradesh,guntur,banana,Whole Year,5681.0,Hectare,42238.0,Tonnes,7.434958634043302,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,16.6,79.6,2003,2004,28.761153846153846,14.051923076923078,90.86538461538461
andhra pradesh,karimnagar,banana,Whole Year,9.0,Hectare,220.0,Tonnes,24.444444444444443,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,18.4,79.0,2002,2003,28.217692307692303,11.900769230769232,116.42115384615386
andhra pradesh,khammam,banana,Whole Year,673.0,Hectare,13682.0,Tonnes,20.329866270430905,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,17.7,80.9,2001,2002,28.58692307692308,14.268076923076926,118.85499999999999
andhra pradesh,khammam,banana,Whole Year,735.0,Hectare,17937.0,Tonnes,24.40408163265306,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,17.7,80.9,2002,2003,28.77038461538461,14.319615384615387,130.6192307692308
andhra pradesh,khammam,banana,Whole Year,859.0,Hectare,12028.0,Tonnes,14.0023282887078,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,17.7,80.9,2003,2004,28.07038461538462,14.590384615384615,141.16615384615386
andhra pradesh,krishna,banana,Whole Year,1556.0,Hectare,3946.0,Tonnes,2.5359897172236505,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,16.2,81.1,2001,2002,28.666923076923084,17.87884615384615,131.0253846153846
andhra pradesh,krishna,banana,Whole Year,1346.0,Hectare,20586.0,Tonnes,15.294205052005944,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,16.2,81.1,2002,2003,28.624230769230767,17.963076923076922,126.96884615384616
andhra pradesh,krishna,banana,Whole Year,1249.0,Hectare,15574.0,Tonnes,12.469175340272216,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286,16.2,81.1,2003,2004,28.431538461538462,17.934999999999995,127.77961538461537
